id_cliente,nome,sexo,data_nasc,cidade,uf,data_cadastro
117,Luiz Teixeira,ND,1988-12-31,São Paulo,DF,2024-07-17
118,Mariana Martins,M,1998-09-28,Vitória,BA,2021-11-24
119,João Gomes,ND,1979-10-14,São Paulo,PB,2024-10-17
120,Beatriz Almeida,M,1976-08-26,Campo Grande,AP,2024-06-24
121,Luca Costa,ND,1997-09-17,Palmas,RO,2024-07-03
122,Lucas Silva,M,1981-05-25,Cuiabá,PE,2021-09-23
123,Marina Dias,F,1997-06-16,Natal,PB,2022-11-09
124,Ana Rocha,F,1986-07-25,Belém,TO,2022-01-14
125,Marina Gomes,M,1965-10-28,Salvador,AP,2022-07-16
126,Fabrício Rocha,ND,1971-08-11,Salvador,BA,2024-06-06
127,Carla Dias,ND,1980-05-22,Salvador,RS,2022-04-28
128,André Carvalho,M,1982-02-12,Palmas,SP,2024-12-27
129,Akira Gomes,M,1959-11-22,Goiânia,PB,2020-06-01
130,Caio Barbosa,M,1956-02-06,Goiânia,PI,2024-04-06
131,Juliana Lima,F,1971-07-17,Fortaleza,RJ,2024-05-10
132,Fabrício Oliveira,F,1999-02-12,Teresina,MG,2019-08-08
133,Akira Rodrigues,ND,1982-04-05,Recife,MG,2020-04-30
134,Luca Pereira,ND,1975-04-01,Natal,MA,2023-04-08
135,Lucas Lima,F,1993-06-21,Teresina,GO,2019-09-04
136,Paula Souza,M,1973-12-06,Boa Vista,CE,2019-11-29
137,Luiza Costa,M,2004-07-09,Florianópolis,MG,2019-01-11
138,Ana Lima,ND,1997-02-27,Rio de Janeiro,GO,2021-08-06
139,Marina Ribeiro,ND,1995-09-25,Boa Vista,MG,2021-08-14
140,Daniel Gomes,ND,1972-09-30,Porto Alegre,MS,2025-02-08
141,André Rodrigues,F,1967-10-05,Rio de Janeiro,MG,2020-11-10
142,Patrícia Ribeiro,ND,1980-11-22,Porto Alegre,PA,2024-04-03
143,Felipe Ribeiro,ND,1991-02-10,Natal,CE,2025-01-20
144,Juliana Lima,M,1958-07-30,Macapá,MS,2022-08-13
145,Paula Gomes,M,1963-03-12,Boa Vista,PE,2025-06-14
146,Luiz Silva,ND,1979-03-07,Rio de Janeiro,PI,2020-12-18
147,Juliana Cardoso,ND,1994-09-03,Florianópolis,CE,2025-07-25
148,Ana Barbosa,M,1997-03-02,Campo Grande,ES,2022-09-27
149,João Souza,M,1984-08-03,Palmas,MS,2024-07-22
150,Marina Araujo,ND,1958-04-17,Belo Horizonte,PA,2022-07-12
151,Carla Martins,M,1991-04-06,São Paulo,RN,2025-01-31
152,Lucas Pereira,M,1971-10-30,Vitória,RN,2024-08-03
153,Caio Lima,M,1973-04-06,João Pessoa,CE,2020-06-20
154,Daniel Ribeiro,F,1998-06-27,São Paulo,RS,2021-09-07
155,Felipe Ferreira,F,2004-06-01,João Pessoa,SP,2023-07-30
156,Renan Costa,M,1996-05-25,Porto Velho,RS,2020-09-22
157,Juliana Ribeiro,ND,1979-07-13,Manaus,MS,2024-04-18
158,André Lima,ND,1967-12-23,Salvador,MT,2024-09-12
159,Aline Rodrigues,M,1979-10-14,Campo Grande,MA,2022-10-24
160,Daniel Cardoso,F,1955-03-26,Macapá,GO,2022-05-07
161,Gabriel Dias,ND,1998-12-05,Belém,PR,2025-01-15
162,Juliana Carvalho,F,2004-07-07,João Pessoa,MA,2023-03-26
163,Lucas Martins,M,1976-06-04,Cuiabá,PI,2021-08-14
164,Mariana Pereira,M,1983-07-19,Manaus,AP,2023-04-11
165,Pedro Rodrigues,F,1958-04-28,Natal,PR,2022-09-21
166,Mariana Souza,F,1963-12-12,Belém,RN,2019-03-04
167,Aline Rodrigues,F,1968-11-06,Manaus,MG,2021-12-21
168,João Teixeira,ND,1990-08-29,Belo Horizonte,RO,2022-09-07
169,Mariana Rocha,F,1983-05-30,Palmas,RO,2024-06-21
170,Mariana Rocha,M,1961-02-20,Porto Velho,PE,2022-03-23
171,André Oliveira,F,1963-10-31,Porto Velho,MA,2020-02-16
172,Lucas Ferreira,ND,1981-11-12,Rio de Janeiro,SP,2022-08-21
173,Patrícia Santos,F,1987-02-28,Campo Grande,ES,2020-08-19
174,André Cardoso,F,2005-10-09,Florianópolis,RR,2020-11-27
175,Luiza Oliveira,ND,1989-04-27,Boa Vista,AL,2021-09-13
176,Juliana Dias,M,1975-10-31,Porto Velho,PA,2021-11-06
177,Lucas Gomes,ND,1955-11-04,Goiânia,PA,2025-02-16
178,Luiza Oliveira,F,1986-01-01,Goiânia,PI,2023-10-04
179,Felipe Gomes,F,1982-02-07,Cuiabá,BA,2024-06-02
180,Fabrício Costa,F,1987-03-16,Goiânia,PI,2022-04-24
181,Bruno Araujo,F,1955-09-23,Boa Vista,PI,2019-07-20
182,Daniel Teixeira,ND,1999-07-25,São Luís,GO,2021-07-31
183,Paula Carvalho,M,1972-01-22,Fortaleza,AL,2020-07-14
184,Caio Souza,ND,1958-07-15,Belém,GO,2019-05-17
185,Luiz Carvalho,ND,1966-10-16,Goiânia,MG,2022-08-31
186,Aline Pereira,M,1973-01-05,João Pessoa,PR,2023-02-07
187,Rafael Cardoso,F,1969-10-05,Manaus,CE,2022-04-23
188,Aline Martins,M,1997-01-06,Curitiba,MG,2021-07-13
189,Mariana Araujo,ND,1987-10-25,Cuiabá,MG,2019-02-27
190,Carla Rocha,M,1995-10-20,Boa Vista,ES,2021-12-09
191,Luiz Araujo,ND,1988-04-29,Boa Vista,RS,2021-08-15
192,Juliana Silva,ND,2005-05-14,Maceió,DF,2021-06-25
193,Caio Oliveira,ND,1996-08-26,Goiânia,TO,2023-07-31
194,Fabrício Rodrigues,M,1958-05-04,Manaus,GO,2020-04-20
195,Fabrício Costa,ND,1967-03-04,Belém,MT,2023-02-28
196,Camila Rocha,F,1968-11-11,Porto Velho,MS,2020-02-10
197,Gabriel Barbosa,ND,1991-08-13,Rio de Janeiro,CE,2023-02-26
198,Roberto Lima,F,1976-03-07,Porto Alegre,ES,2023-02-13
199,Luca Carvalho,M,1990-09-20,Salvador,CE,2020-05-15
200,Beatriz Lima,M,1974-01-11,Porto Velho,RO,2019-03-29
201,Monique Martins,M,1966-04-19,Salvador,PI,2019-10-09
202,Gabriel Rocha,M,1974-05-17,Brasília,PE,2020-08-27
203,Patrícia Teixeira,M,1979-11-16,Curitiba,PR,2025-01-21
204,Carla Ferreira,M,1957-04-24,São Paulo,PR,2023-01-07
205,Patrícia Costa,ND,1984-01-18,Florianópolis,SP,2021-12-22
206,Monique Rodrigues,ND,1992-10-07,Porto Alegre,RN,2019-09-18
207,Juliana Lima,F,2001-01-16,Porto Alegre,PI,2024-01-26
208,Rafael Costa,ND,1958-11-21,Boa Vista,AP,2024-11-05
209,Marina Lima,ND,1957-10-17,Manaus,RJ,2023-07-04
210,Ana Souza,F,1994-10-17,Belo Horizonte,MG,2022-08-12
211,Paula Rodrigues,M,1966-04-28,Maceió,CE,2025-07-25
212,Luca Martins,F,2002-08-07,Belém,GO,2024-09-01
213,Paula Pereira,M,1965-04-07,Porto Velho,RO,2025-03-08
214,Aline Almeida,F,1995-07-06,Campo Grande,PE,2022-10-20
215,Gabriel Lima,F,1992-04-27,Porto Alegre,AP,2022-07-04
216,Ana Martins,ND,1977-11-13,Curitiba,ES,2024-04-26
217,Renan Oliveira,M,1963-05-13,Porto Alegre,MS,2023-03-07
218,Patrícia Rodrigues,ND,1960-05-19,João Pessoa,PI,2025-04-19
219,João Souza,F,1986-09-21,São Luís,RR,2023-09-29
220,Mariana Santos,F,1983-01-12,Porto Alegre,ES,2025-06-25
221,Rafael Almeida,M,1998-04-05,Porto Alegre,PE,2022-12-05
222,Mariana Rocha,F,1965-04-22,Fortaleza,MA,2025-06-09
223,André Pereira,ND,2004-12-12,Maceió,SP,2021-12-31
224,Bruno Ferreira,F,1982-09-20,Vitória,DF,2019-01-26
225,Luiza Rodrigues,ND,1990-12-15,Curitiba,MG,2019-05-06
226,Renan Cardoso,M,1988-10-01,Belém,MS,2022-10-28
227,Luiza Carvalho,F,1984-02-07,Teresina,MA,2019-12-14
228,Sofia Santos,M,1969-02-14,Maceió,MA,2019-07-23
229,Camila Oliveira,F,1994-10-02,Campo Grande,RR,2024-06-12
230,Paula Lima,F,1979-07-05,São Luís,BA,2024-09-29
231,Fabrício Carvalho,F,1964-12-12,Boa Vista,GO,2024-06-16
232,Rafael Ribeiro,M,1974-10-13,Maceió,MT,2019-08-13
233,Bruno Almeida,F,1973-12-13,Curitiba,MA,2021-11-12
234,Marina Martins,M,1955-09-11,Macapá,AM,2023-10-30
235,Luiza Rodrigues,F,2002-10-12,Recife,TO,2024-08-11
236,Luca Carvalho,M,1990-08-16,Rio de Janeiro,AP,2023-11-22
237,Bruno Lima,M,1983-02-01,Campo Grande,PI,2025-06-06
238,Pedro Pereira,F,1965-05-02,São Paulo,MT,2022-08-23
239,Luiza Teixeira,F,1987-06-19,Campo Grande,MG,2020-03-09
240,André Pereira,ND,1990-12-04,Belo Horizonte,RN,2023-06-10
241,Mariana Ribeiro,ND,1985-06-17,Brasília,PE,2020-11-19
242,Renan Cardoso,ND,1965-03-25,Natal,RN,2021-03-05
243,Sofia Carvalho,F,1968-04-01,Porto Alegre,PE,2020-08-22
244,Carla Almeida,M,1968-09-18,São Luís,MA,2019-11-05
245,Luiza Barbosa,F,2005-07-29,Teresina,MA,2024-01-13
246,Camila Dias,ND,1983-12-30,Brasília,RO,2020-09-10
247,Lucas Oliveira,F,1994-09-03,Goiânia,RO,2022-01-30
248,Luiz Santos,F,2000-07-07,Goiânia,MG,2024-03-06
249,Lucas Santos,M,1988-01-30,Belo Horizonte,GO,2020-01-05
250,Paula Teixeira,ND,1989-06-29,Teresina,PA,2025-03-20
251,Beatriz Santos,F,1971-11-21,Maceió,DF,2024-05-02
252,Rafael Rodrigues,M,1995-06-02,Brasília,RS,2019-12-12
253,Rafael Ferreira,M,1977-03-24,Belém,TO,2023-12-05
254,Rafael Cardoso,ND,1969-03-29,Vitória,ES,2022-03-04
255,Pedro Pereira,F,1959-09-12,Porto Velho,RO,2022-10-02
256,Renan Martins,M,2005-01-21,Cuiabá,RR,2022-03-09
257,Carla Teixeira,M,1984-11-27,Teresina,MG,2020-08-02
258,Daniel Carvalho,F,1990-03-01,Maceió,PR,2019-12-14
259,Marina Rocha,F,1984-06-20,Boa Vista,PR,2024-11-26
260,Renan Pereira,ND,1987-06-18,Vitória,SP,2022-06-19
261,Luiza Almeida,F,1998-08-17,Recife,BA,2020-07-17
262,Akira Oliveira,F,1964-01-28,São Luís,RN,2025-01-19
263,Gabriel Cardoso,M,1985-03-19,Maceió,MA,2020-06-20
264,Paula Araujo,M,1969-07-22,Palmas,SC,2020-11-09
265,Aline Lima,M,1991-11-11,Boa Vista,ES,2021-08-30
266,Lucas Teixeira,F,1995-04-11,João Pessoa,PE,2021-09-06
267,Marina Barbosa,M,1988-01-01,Teresina,RR,2023-12-10
268,Lucas Ribeiro,F,2000-02-13,Campo Grande,RN,2020-10-25
269,Gabriel Almeida,ND,1967-06-02,Rio de Janeiro,CE,2024-05-22
270,Mariana Carvalho,ND,1964-03-15,Natal,TO,2020-05-25
271,Marina Oliveira,M,1979-06-22,Natal,PA,2020-08-26
272,Gabriel Pereira,M,1974-12-02,Vitória,PA,2019-04-20
273,Ana Santos,F,2000-01-14,Recife,ES,2023-05-01
274,Renan Carvalho,M,1957-07-12,Porto Alegre,DF,2022-10-05
275,Patrícia Rodrigues,M,1958-06-09,Manaus,GO,2020-07-22
276,Thiago Barbosa,F,1955-06-22,São Paulo,MG,2021-11-14
277,Roberto Rodrigues,ND,2002-05-08,Porto Alegre,MS,2022-03-26
278,André Ribeiro,M,1959-04-14,Campo Grande,PE,2024-02-16
279,Renan Souza,F,2003-02-03,Porto Velho,SP,2024-10-11
280,Luiz Costa,ND,1967-11-18,Campo Grande,GO,2019-01-07
281,Paula Carvalho,M,1992-05-16,Boa Vista,SC,2019-12-17
282,Rafael Carvalho,M,2002-03-12,Natal,PB,2024-09-10
283,Luca Silva,F,1997-03-06,Porto Velho,RJ,2023-05-04
284,Maria Gomes,ND,1956-06-16,Belo Horizonte,ES,2022-11-13
285,André Souza,ND,1984-10-30,Rio de Janeiro,PR,2022-12-14
286,Luca Martins,ND,1970-09-16,Boa Vista,MA,2024-03-18
287,Felipe Barbosa,ND,1971-05-09,Belo Horizonte,PR,2024-02-18
288,Monique Ribeiro,M,1958-12-06,Rio de Janeiro,BA,2022-07-16
289,Daniel Ribeiro,ND,1990-09-23,Manaus,PB,2021-11-03
290,Monique Almeida,F,1987-01-10,Rio de Janeiro,MA,2022-09-21
291,Carla Souza,F,1994-03-15,Macapá,MT,2023-12-07
292,Sofia Araujo,F,1971-10-05,Palmas,AM,2024-07-30
293,Maria Cardoso,F,1962-05-31,Campo Grande,AP,2019-11-20
294,Ana Teixeira,M,2003-12-09,Brasília,GO,2020-02-25
295,Renan Martins,ND,1981-07-10,Belém,GO,2023-10-12
296,Luiza Lima,F,1995-02-11,Macapá,RJ,2022-12-15
297,Paula Pereira,F,1960-02-23,Boa Vista,MG,2023-07-22
298,Maria Cardoso,ND,1969-05-09,Curitiba,SP,2023-11-30
299,Monique Rodrigues,M,1976-03-04,Porto Velho,MA,2023-02-09
300,Maria Araujo,ND,1957-11-27,Curitiba,AL,2024-01-17
301,Beatriz Carvalho,F,1994-10-30,Belo Horizonte,MA,2025-06-08
302,Akira Cardoso,F,1990-09-16,Porto Velho,DF,2022-02-15
303,André Souza,M,1971-09-10,Natal,AM,2023-05-05
304,Daniel Rocha,M,1978-06-26,Fortaleza,MA,2024-01-02
305,Roberto Teixeira,F,1999-01-25,Porto Alegre,BA,2020-07-09
306,Mariana Oliveira,F,1970-06-28,Belém,TO,2019-12-26
307,Patrícia Martins,ND,1986-03-03,Belo Horizonte,TO,2025-03-02
308,Luca Ribeiro,F,1969-02-17,Palmas,TO,2020-12-14
309,Patrícia Carvalho,ND,1975-02-12,Salvador,RS,2020-07-22
310,André Barbosa,M,1987-05-18,Teresina,PB,2023-02-20
311,Lucas Rocha,M,1962-09-26,Goiânia,MG,2023-06-19
312,Felipe Barbosa,ND,1991-11-08,Campo Grande,MA,2025-06-12
313,Renan Rodrigues,F,1961-08-27,Belém,PA,2024-10-20
314,Maria Rodrigues,ND,1971-04-29,Curitiba,MA,2023-11-08
315,Rafael Santos,M,2001-06-25,Goiânia,PR,2020-11-05
316,Luiza Martins,ND,1975-03-25,Natal,ES,2022-03-09
317,Mariana Oliveira,F,1972-08-11,João Pessoa,RO,2022-01-29
318,Akira Ribeiro,ND,2002-11-11,Natal,MG,2020-11-21
319,Luiz Dias,M,1970-05-11,Maceió,RR,2022-10-14
320,Gabriel Dias,M,1957-07-18,Rio de Janeiro,MG,2025-06-20
321,Carla Almeida,ND,1992-05-16,Porto Velho,AL,2019-05-05
322,Juliana Rocha,F,1982-02-07,Recife,AM,2023-07-22
323,Marina Lima,M,1960-05-17,Belém,SC,2023-08-30
324,Juliana Lima,M,1985-07-09,Curitiba,AL,2022-07-04
325,Mariana Martins,ND,1985-12-26,Curitiba,MT,2023-02-26
326,Rafael Rocha,M,1983-08-18,Belém,PE,2020-05-16
327,Carla Lima,M,1967-08-22,Rio de Janeiro,RS,2022-04-03
328,Beatriz Araujo,ND,1992-07-06,Florianópolis,PE,2022-09-03
329,Daniel Dias,ND,1983-01-21,São Luís,BA,2020-10-14
330,Juliana Cardoso,F,1999-09-30,Manaus,GO,2019-04-05
331,Renan Araujo,ND,1996-01-08,Salvador,PE,2025-07-17
332,Maria Santos,M,1980-03-29,Maceió,AM,2024-04-11
333,Marina Rocha,M,1964-08-23,Curitiba,MS,2021-12-19
334,Aline Carvalho,F,1987-10-31,Cuiabá,RJ,2019-07-29
335,Luiz Rocha,M,1987-07-11,Goiânia,PB,2019-10-29
336,Pedro Cardoso,F,2004-04-30,Maceió,CE,2020-05-01
337,Akira Souza,F,1988-06-24,João Pessoa,DF,2023-02-06
338,Thiago Rodrigues,M,2000-09-03,Natal,MT,2019-06-14
339,Monique Santos,M,1984-11-17,Natal,AM,2024-02-15
340,Akira Teixeira,ND,1967-07-17,Maceió,DF,2022-07-28
341,Luiza Araujo,ND,1981-11-05,Brasília,PI,2024-09-08
342,Gabriel Cardoso,ND,1998-12-12,Teresina,TO,2022-05-12
343,Juliana Silva,F,1984-09-19,Porto Alegre,RR,2023-09-03
344,Luiz Ribeiro,ND,1957-05-23,Manaus,AL,2021-12-23
345,Beatriz Dias,ND,1975-06-01,Rio de Janeiro,AP,2025-07-18
346,Juliana Ferreira,ND,1989-02-09,Boa Vista,PR,2021-09-19
347,Monique Dias,ND,1964-11-10,São Paulo,BA,2023-12-12
348,João Pereira,M,1992-01-18,Salvador,TO,2023-08-08
349,Rafael Teixeira,F,1960-08-02,Curitiba,TO,2024-10-25
350,Roberto Rocha,F,1997-12-01,Cuiabá,RN,2022-07-09
351,Beatriz Ferreira,F,2002-10-30,João Pessoa,DF,2022-12-22
352,Camila Gomes,ND,1998-06-09,Recife,BA,2022-02-16
353,Luca Ribeiro,M,1981-09-13,Goiânia,MA,2021-04-29
354,Felipe Barbosa,F,1998-01-17,João Pessoa,ES,2022-01-25
355,Marina Souza,ND,2003-09-25,Cuiabá,MT,2022-11-14
356,Beatriz Rodrigues,F,1958-10-10,Palmas,GO,2019-11-20
357,Maria Lima,ND,1978-01-03,Manaus,AP,2021-05-26
358,Roberto Rocha,F,2005-06-03,Fortaleza,TO,2020-07-16
359,Fabrício Teixeira,ND,1976-06-19,Rio de Janeiro,PE,2024-12-15
360,André Costa,M,1963-12-28,Brasília,MS,2024-04-18
361,Fabrício Rodrigues,M,2004-05-16,Campo Grande,SC,2024-05-02
362,Juliana Almeida,F,1983-10-25,Porto Velho,GO,2019-08-31
363,Daniel Oliveira,ND,1975-11-01,Macapá,PB,2019-06-02
364,Daniel Ferreira,F,1970-10-09,Cuiabá,RJ,2024-07-22
365,Luiza Ribeiro,M,1955-10-31,Teresina,GO,2020-03-15
366,Daniel Martins,F,1995-10-06,João Pessoa,RO,2024-11-17
367,Juliana Rodrigues,ND,1996-12-27,Salvador,CE,2020-04-06
368,João Ferreira,ND,1996-03-03,Fortaleza,RO,2021-02-01
369,Bruno Martins,F,2005-12-09,São Luís,RR,2021-03-02
370,Luiza Teixeira,ND,1991-05-19,Natal,MS,2022-09-05
371,Renan Araujo,ND,1963-07-23,Curitiba,SC,2024-05-09
372,João Costa,M,1978-05-25,Recife,MT,2024-01-04
373,Thiago Gomes,F,1982-02-02,Macapá,PI,2025-06-04
374,Bruno Gomes,ND,1987-04-04,Recife,TO,2019-09-12
375,Camila Souza,F,1982-07-11,Cuiabá,SC,2024-08-20
376,Daniel Ribeiro,ND,1965-07-14,Goiânia,RO,2023-02-14
377,Paula Costa,M,1966-12-25,Curitiba,AM,2024-02-07
378,Aline Teixeira,F,1992-04-22,João Pessoa,TO,2024-04-12
379,Thiago Rocha,ND,1974-08-05,Recife,MA,2019-12-02
380,Rafael Lima,ND,1987-06-16,Teresina,MG,2020-04-04
381,Monique Rocha,ND,1973-02-19,João Pessoa,PI,2020-09-05
382,Luiza Martins,ND,1994-08-22,Boa Vista,RS,2021-04-21
383,Felipe Dias,F,1963-02-27,Belém,RN,2019-08-16
384,Lucas Rodrigues,ND,1992-04-08,Teresina,PA,2019-08-25
385,Luca Lima,ND,1982-08-25,São Paulo,AP,2023-06-10
386,Carla Silva,ND,1974-07-20,Belo Horizonte,PI,2019-07-05
